setting,seed,harmful_source_auroc,harmful_source_auprc
A,11,0.5,0.11805555555555555
A,23,0.5357142857142857,0.11944444444444444
A,47,0.7857142857142858,0.23809523809523808
A,89,0.10714285714285715,0.07042124542124542
A,131,0.2142857142857143,0.08012820512820512
B,11,0.5,0.11805555555555555
B,23,0.42857142857142855,0.1001082251082251
B,47,0.6785714285714286,0.16309523809523807
B,89,0.14285714285714285,0.07202380952380952
B,131,0.2142857142857143,0.08012820512820512
C,11,0.5,0.11805555555555555
C,23,0.5,0.11349206349206349
C,47,0.6428571428571428,0.14821428571428572
C,89,0.10714285714285715,0.07042124542124542
C,131,0.1785714285714286,0.07577838827838827
